Posted On,BHK,Size,Floor,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact
18,2,950,372,2,309,0,1,1,2,2
62,2,800,270,2,1316,0,1,1,2,2
52,1,545,196,2,530,2,0,1,1,2
76,1,465,270,2,2182,5,1,0,1,2
73,2,900,313,2,303,0,0,1,2,2
77,2,1250,460,2,69,3,1,1,2,2
76,3,1757,423,2,830,0,1,1,3,2
13,2,850,273,2,1182,5,1,2,2,2
55,3,2500,317,1,1164,0,2,0,3,0
66,3,1600,16,1,1191,0,1,1,3,0
32,2,836,366,1,1948,5,2,1,2,0
13,1,60,270,2,1499,2,2,1,1,2
28,2,950,10,2,1370,1,1,2,1,2
25,3,1960,88,2,1337,3,2,0,3,0
43,2,650,421,1,157,0,0,2,2,2
59,1,350,1,2,260,4,2,1,1,2
37,3,2300,47,1,42,1,1,0,3,0
75,1,350,198,2,1098,3,2,1,1,2
74,1,890,313,1,94,3,1,0,1,2
75,1,450,10,2,775,3,2,1,1,2
78,3,1150,403,1,225,5,1,1,3,0
75,3,1150,396,1,936,5,2,1,3,0
7,1,460,270,2,1864,0,1,1,1,2
57,3,160,198,1,1934,2,1,1,3,0
76,2,1070,270,1,884,3,1,1,2,2
12,2,1200,1,2,208,3,2,1,2,2
78,3,1350,17,1,104,5,0,0,3,0
39,2,635,144,1,1327,5,2,1,2,0
13,2,500,198,2,189,2,1,1,2,2
15,2,1350,447,2,1656,3,2,1,2,2
74,4,3000,10,1,551,1,2,0,4,0
53,2,850,401,1,521,5,2,1,2,0
39,3,1000,192,2,461,4,1,1,3,2
56,1,225,160,1,2147,5,2,0,2,0
35,1,450,196,2,1346,0,2,1,1,2
25,3,900,10,2,1260,4,1,1,3,2
75,3,1300,14,2,840,1,1,2,3,2
77,3,1700,267,1,600,1,1,0,3,2
38,2,700,455,2,221,4,2,0,1,2
75,2,600,96,1,115,5,1,1,2,0
76,1,500,80,2,1203,5,0,1,2,2
8,2,700,301,1,240,4,1,1,1,2
79,3,1200,424,1,423,1,1,1,3,0
69,2,600,10,2,559,0,2,1,1,2
39,3,1200,10,1,788,1,2,1,2,2
70,2,1000,196,1,1683,3,1,0,2,2
75,2,696,86,1,379,5,1,1,2,0
62,1,600,270,2,708,0,0,1,1,2
